Generalization,Name
Observations::Samples::RotaryVelocity,Observations::Samples::OverrideRotaryVelocity
Observations::Event,Observations::Events::RotaryVelocityOverride
Observations::Event,Observations::Events::SerialNumber
Observations::Sample,Observations::Samples::SoundLevel
Observations::Samples::SoundLevel,Observations::Samples::NoScaleSoundLevel
Observations::Samples::SoundLevel,Observations::Samples::AScaleSoundLevel
Observations::Samples::SoundLevel,Observations::Samples::BScaleSoundLevel
Observations::Samples::SoundLevel,Observations::Samples::CScaleSoundLevel
Observations::Samples::SoundLevel,Observations::Samples::DScaleSoundLevel
Observations::Event,Observations::Events::SpindleInterlock
Observations::Sample,Observations::Samples::SpindleSpeed
Observations::Samples::SpindleSpeed,Observations::Samples::ActualSpindleSpeed
Observations::Samples::SpindleSpeed,Observations::Samples::CommandedSpindleSpeed
Observations::Samples::SpindleSpeed,Observations::Samples::OverrideSpindleSpeed
Observations::Sample,Observations::Samples::Strain
Observations::Condition,Observations::Conditions::System
Observations::Sample,Observations::Samples::Temperature
Observations::Sample,Observations::Samples::Tension
Observations::Sample,Observations::Samples::Tilt
Observations::Event,Observations::Events::ToolAssetId
Observations::Event,Observations::Events::ToolGroup
Observations::Event,Observations::Events::ToolId
Observations::Event,Observations::Events::ToolNumber
Observations::Event,Observations::Events::ToolOffset
Observations::Events::ToolOffset,Observations::Events::RadialToolOffset
Observations::Events::ToolOffset,Observations::Events::LengthToolOffset
Observations::Sample,Observations::Samples::Torque
Observations::Event,Observations::Events::User
Observations::Events::User,Observations::Events::OperatorUser
Observations::Events::User,Observations::Events::MaintenanceUser
Observations::Events::User,Observations::Events::SetUpUser
Observations::Event,Observations::Events::Variable
Observations::Sample,Observations::Samples::Velocity
Observations::Sample,Observations::Samples::Viscosity
Observations::Sample,Observations::Samples::Voltage
Observations::Samples::Voltage,Observations::Samples::AlternatingVoltage
Observations::Samples::Voltage,Observations::Samples::DirectVoltage
Observations::Samples::Voltage,Observations::Samples::ActualVoltage
Observations::Samples::Voltage,Observations::Samples::TargetVoltage
Observations::Sample,Observations::Samples::VoltAmpere
Observations::Sample,Observations::Samples::VoltAmpereReactive
Observations::Sample,Observations::Samples::VolumeFluid
Observations::Samples::VolumeFluid,Observations::Samples::ActualVolumeFluid
Observations::Samples::VolumeFluid,Observations::Samples::ConsumedVolumeFluid
Observations::Sample,Observations::Samples::VolumeSpatial
Observations::Samples::VolumeSpatial,Observations::Samples::ActualVolumeSpatial
Observations::Samples::VolumeSpatial,Observations::Samples::ConsumedVolumeSpatial
Observations::Event,Observations::Events::WaitState
Observations::Sample,Observations::Samples::Wattage
Observations::Samples::Wattage,Observations::Samples::ActualWattage
Observations::Samples::Wattage,Observations::Samples::TargetWattage
Observations::Event,Observations::Events::Wire
Observations::Event,Observations::Events::WorkholdingId
Observations::Event,Observations::Events::WorkOffset
